,id,plan_name,date_added,suggested_by,url,plan_resolution,planning_method,aquisition,easement,stewardship,habit,water_quality,resource_species,community_resilience,gulf_economy,code,related_state,status,is_new,existing_planid,username
1,344,Habitat Management Plan - Baldwin County Meadows Property,2017-12-11,Jeniffer Roberts,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
2,345,THE MOBILE PENINSULA - CORRIDOR MASTER PLAN,2017-12-11,Jeniffer Roberts,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
3,346,Management Plan for the - Audubon Bird Sanctuary,2017-12-11,Jeniffer Roberts,na,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
4,347,Apalachee Region Comprehensive Economic Development Strategy,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.nado.org/wp-content/uploads/2014/08/FL-Apalachee-Regional-Planning-Council-2013-2017.pdf#,Regional,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,,,,,
5,348,Fishery Management Plan for Spanish Mackerel ,2018-02-27,FL Fish and Wildlife Conservation Commission,http://sedarweb.org/docs/wsupp/S17RD03%20ASMFC%201990%20Spanish%20Mackerel%20FMP%201990.pdf,GCR,NULL,NULL,NULL,NULL,NULL,NULL,Manage Spanish mackerel resourse,NULL,Minimize disruptions of markets for Spanish mackerel,NULL,,,,,
6,349,Annual Progress Report on the Outer Continental Shelf (OCS) Oil and Gas Leasing Program 2012–2017,2018-02-27,FL Fish and Wildlife Conservation Commission,http://www.boem.gov/2014-Annual-Progress-Report-on-the-2012-2017-Five-Year-Program/#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,
7,350,Deepwater Horizon Oil Spill Natural Resource Damage Assessment Strategic Framework for Bird Restoration Activities,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.gulfspillrestoration.noaa.gov/project?id=74,GCR,NULL,NULL,NULL,NULL,NULL,NULL,Address ecosystem-level injuries,Facilitate public collaboration,NULL,NULL,,,,,
8,351,Deepwater Horizon Oil Spill Natural Resource Damage Assessment Strategic Framework for Marine Mammal Restoration Activities,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.gulfspillrestoration.noaa.gov/project?id=77,GCR,NULL,NULL,NULL,NULL,NULL,NULL,Address ecosystem-level injuries,Provide a platoform for stakeholder communication,NULL,NULL,,,,,
9,352,Deepwater Horizon Oil Spill Natural Resource Damage Assessment Strategic Framework for Oyster Restoration Activities,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.gulfspillrestoration.noaa.gov/project?id=76,GCR,NULL,NULL,NULL,NULL,Compensate to oyster reef habitat and larvae pool that sustains oysters,NULL,Address ecosystem-level injuries,Provide a platoform for stakeholder communication,NULL,NULL,,,,,
10,353,Deepwater Horizon Oil Spill Natural Resource Damage Assessment Strategic Framework for Sea Turtle Restoration Activities,2018-02-27,FL Fish and Wildlife Conservation Commission,https://www.gulfspillrestoration.noaa.gov/project?id=75,GCR,NULL,NULL,NULL,NULL,NULL,NULL,Address ecosystem-level injuries,NULL,NULL,NULL,,,,,
